WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
thrust;6;n;3;siła ciągu;ciąg;
to approach;6;v;2;podchodzić;zbliżać się;
to arrive;6;v;1;przybywać;;
to blow;6;v;2;wiać;dmuchać;
to depart;6;v;2;odlatywać;odjeżdżać;
to descend;6;v;2;zniżać lot;opadać;
to embed;6;v;3;wtopić;wbudować;
to gain;6;v;2;zyskać;;
to handle;6;v;2;zajmować się;;
to house;6;v;2;mieścić w sobie;;
to issue;6;v;2;wydawać;;
to launch;6;n;2;wystartować;odpalić;
to pass;6;v;2;przekazać;;
to pass over/by;6;v;2;przechodzić ponad/obok;;
to pitch;6;v;3;pochylić samolot;;
to prevent;6;v;2;zapobiegać;;
to respond;6;v;2;reagować;;
to roll;6;v;3;przechylić samolot;;
to shield;6;v;2;chronić;;
to spin ;6;v;2;wirować;obracać się;
to support;6;v;2;podtrzymywać;;
to suspend;6;v;2;zawiesić;;
to take over;6;v;3;przejmować;;
to taxi;6;v;3;kołować;;
to tip;6;v;2;przechylić śmigłowiec;przeważyć ;
to track;6;v;2;śledzić;;
trailing edge;6;n;3;krawędź spływu;;
trailing edge brushes;6;n;3;szczotki na krawędzi spływu;;
turbulent;6;adj;2;turbulentny;niespokojny;
upwards;6;adv;2;do góry;;
variability;6;n;3;zmienność;;
variable exhaust nozzle;6;n;3;zmienna dysza wylotowa;;
visual control tower;6;n;2;wieża kontroli lotów;;
weight;6;n;1;ciężar;waga;
wing area;6;n;2;powierzchnia skrzydła;;
wingspan;6;n;2;rozpiętość skrzydeł;;
work station;6;n;2;stanowisko operacyjne;;
acceptable;7;adj;2;dopuszczalny;;
adhesive;7;n;2;klej;przylepny;
air conditioning;7;n;2;klimatyzacja;;
airy;7;adj;1;przewiewny;;
CCTV;7;n;2;telewizja przemysłowa;;
cladding;7;n;3;pokrycie;okrycie;
condensation;7;n;1;kondensacja;skroplenie;
convertible;7;adj;2;zamienialny;;
counterfort;7;n;3;przypora;;
current;7;n;2;prąd;;
deterioration;7;n;3;pogorszenie;;
disabled;7;adj;2;niepełnosprawny;;
disaster-proof;7;adj;2;odporny na kataklizmy;odporny na klęski żywiołowe;
dishwasher;7;n;1;zmywarka;;
draught;7;n;3;przeciąg;;
durable;7;adj;2;trwały;wytrzymały;
flood;7;n;1;powódź;;
foundations;7;n;2;fundamenty;;
freezer;7;n;1;zamrażarka;;
fridge;7;n;1;lodówka;;
hob;7;n;3;płyta grzejna (kuchenki);;
insurance premium;7;n;3;dopłata do polisy;;
interior wall;7;n;2;ściana wewnętrzna;;
labour-saving;7;adj;2;pracooszczędny;usprawniający pracę;
largely;7;adv;1;znacznie;;
lifespan;7;n;2;czas użytkowania;;
obligation;7;n;2;obowiązek;;
opaque;7;adj;3;nieprzejrzysty;mętny;
outermost;7;adj;2;zewnętrzny;;
owner;7;n;1;właściciel;;
partition;7;n;3;ściana działowa;przepierzenie;
permanent;7;adj;2;stały;;
pillar;7;n;2;kolumna;;
predictable;7;adj;2;przewidywalny;;
prediction;7;n;2;przewidywanie;prognoza;
pre-stressed concrete;7;n;3;strunobeton;;
proper;7;adj;2;właściwy;;
recipe;7;n;2;przepis kulinarny;;
scarce;7;adj;2;rzadki;;
shutter;7;n;3;bariera;migawka;
sink;7;n;1;zlew;;
slab of concrete;7;n;3;płyta betonu;;
slope;7;n;2;skarpa;stok;pochyłość
steep;7;adj;2;stromy;;
strict;7;adj;2;surowy;;
supply;7;n;2;dostawa;;
tanking membrane;7;n;3;izolacja przeciwwodna;;
temporary;7;adj;2;tymczasowy;;
timber;7;n;3;drewno;tarcica;
to affect;7;v;2;wpływać;;
to bear;7;v;2;znieść;wytrzymać;
to comprise;7;v;2;zawierać;obejmować;
to dust;7;v;1;odkurzać;;
to earth;7;v;3;uziemić;;
to float;7;v;2;unosić się na wodzie;;
to fold up;7;v;2;składaćsię;;
