WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
trwa³y;7;adj;2;durable;wytrzyma³y;
powódŸ;7;n;1;flood;;
fundamenty;7;n;2;foundations;;
zamra¿arka;7;n;1;freezer;;
lodówka;7;n;1;fridge;;
p³yta grzejna (kuchenki);7;n;3;hob;;
dop³ata do polisy;7;n;3;insurance premium;;
œciana wewnêtrzna;7;n;2;interior wall;;
pracooszczêdny;7;adj;2;labour-saving;usprawniaj¹cy pracê;
znacznie;7;adv;1;largely;;
czas u¿ytkowania;7;n;2;lifespan;;
obowi¹zek;7;n;2;obligation;;
nieprzejrzysty;7;adj;3;opaque;mêtny;
zewnêtrzny;7;adj;2;outermost;;
w³aœciciel;7;n;1;owner;;
œciana dzia³owa;7;n;3;partition;przepierzenie;
sta³y;7;adj;2;permanent;;
kolumna;7;n;2;pillar;;
przewidywalny;7;adj;2;predictable;;
przewidywanie;7;n;2;prediction;prognoza;
strunobeton;7;n;3;pre-stressed concrete;;
w³aœciwy;7;adj;2;proper;;
przepis kulinarny;7;n;2;recipe;;
rzadki;7;adj;2;scarce;;
bariera;7;n;3;shutter;migawka;
zlew;7;n;1;sink;;
p³yta betonu;7;n;3;slab of concrete;;
skarpa;7;n;2;slope;stok;pochy³oœæ
stromy;7;adj;2;steep;;
surowy;7;adj;2;strict;;
dostawa;7;n;2;supply;;
izolacja przeciwwodna;7;n;3;tanking membrane;;
tymczasowy;7;adj;2;temporary;;
drewno;7;n;3;timber;tarcica;
wp³ywaæ;7;v;2;to affect;;
znieœæ;7;v;2;to bear;wytrzymaæ;
zawieraæ;7;v;2;to comprise;obejmowaæ;
odkurzaæ;7;v;1;to dust;;
uziemiæ;7;v;3;to earth;;
unosiæ siê na wodzie;7;v;2;to float;;
sk³adaæsiê;7;v;2;to fold up;;
izolowaæ;7;v;3;to insulate;;
przegrzaæ (siê);7;v;2;to overheat;;
zezwoliæ;7;v;2;to permit;;
przypominaæ;7;v;2;to remind;;
wymagaæ;7;v;2;to require;;
groziæ;7;v;2;to threaten;;
wytrzymaæ;7;v;3;to withstand;oprzeæ siê (czemuœ);
œcie¿ka;7;n;2;track;bie¿nia;
widoczny;7;adj;2;visible;;
dobrze izolowany;7;adj;2;well-insulated;;
monta¿;8;n;2;assembly;;
silnik spalinowy;8;n;3;combustion engine;;
zator;8;n;3;congestion;zat³oczenie;
kontenerowiec;8;n;1;container ship;;
po drodze;8;adv;2;en-route;;
wysportowany;8;adj;1;fit;sprawny fizycznie;
p³askodenny;8;adj;2;flat-bottomed;;
bruzda;8;n;2;groove;rowek;
podnoszony;8;adj;3;hoistable;;
poduszkowiec;8;n;3;hovercraft;;
wodolot;8;n;3;hydrofoil;;
wewnêtrzny;8;adj;2;internal;;
³o¿e monta¿owe;8;n;3;jig;;
licencja;8;n;1;licence;;
luksusowy;8;adj;2;luxurious;;
autostrada;8;n;1;motorway;;
oficer nawigacyjny;8;n;1;navigation officer;;
oceaniczny;8;adj;2;ocean-going;transoceaniczny;
przegl¹d;8;n;2;overview;;
³ódŸ motorowa;8;n;2;powerboat;;
nabrze¿e;8;n;3;quay;keja;
rampa;8;n;1;ramp;;
nag³y;8;adj;2;rapid;;
statek rzeczny;8;n;2;river craft;;
rorowiec;8;n;3;roll-on/roll-off;statek typu RO-RO;
dno morza;8;n;2;seabed;;
rufa;8;n;3;stern;;
dwukad³ubowy poduszkowiec;8;n;3;surface-effect ship;;
zostaæ, staæ siê ;8;v;1;to become;;
